open_time,close_time,signal
2025-12-08T04:00:00+00:00,2025-12-08T05:00:00+00:00,BUY
2025-12-08T05:00:00+00:00,2025-12-08T06:00:00+00:00,HOLD
2025-12-08T06:00:00+00:00,2025-12-08T07:00:00+00:00,BUY
2025-12-08T07:00:00+00:00,2025-12-08T08:00:00+00:00,HOLD
2025-12-08T08:00:00+00:00,2025-12-08T09:00:00+00:00,HOLD
2025-12-08T09:00:00+00:00,2025-12-08T10:00:00+00:00,HOLD
2025-12-08T10:00:00+00:00,2025-12-08T11:00:00+00:00,HOLD
2025-12-08T11:00:00+00:00,2025-12-08T12:00:00+00:00,HOLD
2025-12-08T12:00:00+00:00,2025-12-08T13:00:00+00:00,BUY
2025-12-08T13:00:00+00:00,2025-12-08T14:00:00+00:00,HOLD
2025-12-08T14:00:00+00:00,2025-12-08T15:00:00+00:00,HOLD
